,Unnamed: 0,place_id,name,price_level,rating,types,address,phone_number,opening_hours,photo_ref,user_ratings_total,google_url,vegan_rating,gf_rating,veg_rating
10,10,ChIJ6etNTx1644kRqbTIgcjBSSg,Eastern Standard Kitchen and Drinks,3.0,4.5,"restaurant, food, point_of_interest, establishment","775 Beacon St, Boston, MA 02215, USA",(617) 530-1590,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1100'}}]",AdDdOWrDZq9ylYmalLoTc8yxaQFNLvGNZECtMBuG6MCZHpv9uf3cJJcNLl897gP1RR8CW37Htabdm8RsUhN7rIq7F3rsvloBP08po1_C2y69BQToJSk0Vcx9e5Sb2w3m_wvTOgEqE6QJqed8TC6B8hd1KJ1K9sK6EkaX7F4o5a0-0-SN-U5r,1932,https://maps.google.com/?cid=2903064501732029609,4.1,4.7,4.6
11,11,ChIJefZGB59w44kRMDjVMFNpAIM,75 Chestnut,2.0,4.4,"restaurant, food, point_of_interest, establishment","75 Chestnut St, Boston, MA 02108, USA",(617) 227-2175,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1700'}}]",AdDdOWpO2F1GicDxq363p7a_cY-3qXUbSwrz_h2mZu44DiwfcERWAbGjv0gTpQElrcZ9EEjZA1SRLG57hcS7NZgd0sMhsNDQjzOI6QejNzV53P_GI184mobr20f2qDvascC4cyvIifEu-Bb4BdENYOP3WZCAolu035_http1shl4Gyy_gyn5,663,https://maps.google.com/?cid=9439660624991041584,1.9,4.7,3.6
12,12,ChIJwRxfIBt644kRuDR56soOZ1o,Boston Burger Company - Boylston St.,2.0,4.5,"restaurant, food, point_of_interest, establishment","1100 Boylston St, Boston, MA 02215, USA",(857) 233-4560,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1100'}}]",AdDdOWqxlvl2Btu24g_ACPkPZME2InncpsYY3BOK0CWmJj0MluaycR4karZrXGTruDejQAM1QHSS2Aa9f8P9U1GpxQ8Lf-J9spsZ_RdMBI3U7xGrnwmiLpKERqwqJG0c77ZkNljwcvWab99DJ0RuuaSP-gXcqvyFHObCwC10LpDQYiCCPwg8,3211,https://maps.google.com/?cid=6514191650694706360,4.6,4.9,4.1
13,13,ChIJpSjEwhZ644kRUk-NlLAlxmk,SRV,3.0,4.6,"restaurant, food, point_of_interest, establishment","569 Columbus Ave, Boston, MA 02118, USA",(617) 536-9500,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1700'}}]",AdDdOWo8bbjtSZK5Ku7Fca9Nkzpc27xWWy6krNwkwr11QcB6tuzS5QydV0pgQyypRAQhy7DWaBvNCc2SIg7ipKrPB4Q9OgPkAHPKMAxSS-ANPoDddGNgBr2H1zV-PtZ4RVlErRda2JCyjvxOo0bJM1cL5SxcaVydx2ggoAnInqDHR1iIF3E5,1114,https://maps.google.com/?cid=7621820859707903826,4.8,2.5,4.5
14,14,ChIJ8XZQ9A5644kR-8i3134hx2I,Atlantic Fish Company,3.0,4.6,"bar, restaurant, food, point_of_interest, establishment","761 Boylston St, Boston, MA 02116, USA",(617) 267-4000,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1100'}}]",AdDdOWokn9i5GHiKSw7weVb2BtUP5xPITYUMOsiXsY4PiD81EK0nXvNTGBh566zekmSIbLESPN9dnT-7sQRen8hED1p0vyXb0VjH-pB3WRjYfdarfi09l85j7F1oUXUe6xKlxwRaU05BnkqeiV2M4QmJjUBmhrWOnQ9q3X8kGigWjcoXejo2,3752,https://maps.google.com/?cid=7117694564751100155,4.9,4.6,4.1
15,15,ChIJt-4Ishl644kRrpc1q-2JpnE,Boston Shawarma,1.0,4.7,"restaurant, food, point_of_interest, establishment","315 Huntington Ave, Boston, MA 02115, USA",(617) 670-0460,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1000'}}]",AdDdOWp3przGrUQ8UB_zhTeOmF-E61h3JHtT9wELbjmJGMKgFSVgDH05tJd4bL8wuDkmVX3Hrt9deS-kpcpZ7pJcCkCzNu69Epyx7bpV_PZPy4oQkdw-tHWkxjuo4xMNjxyGInYLoHvdoXKuNleozpoFjbrzRiVK59OOjR9Q8xFNByiyVgrg,4336,https://maps.google.com/?cid=8189384626292496302,4.5,2.5,4.4
16,16,ChIJc0fe6M9544kRCEADcWwP7jE,Lulu's Allston,2.0,4.4,"restaurant, food, point_of_interest, establishment","421 Cambridge St, Allston, MA 02134, USA",(617) 787-1117,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 6, 'time': '0100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 0, 'time': '0100'}, 'open': {'day': 6, 'time': '1000'}}]",AdDdOWoHJfyB4CehcUlSmsqL7QrGF9SfOmEm7y3e6dYtJTMOd-L8SHd1yZF5g2bpxp0fZW-8wO26_9EJGUsAmFqUlsIO8GNdTPzhJ_uZYU31QKTgrskWy5jhBl9Z9yhgKcTkoWYeAra0bM-pJXHOvXy4buxKjtiojcAdIbknqh0Kez1loDvs,1373,https://maps.google.com/?cid=3597830110742528008,4.4,0.4,4.8
17,17,ChIJ1bbD43R644kR5ZwXEJHXZaM,Parish Cafe & Bar,2.0,4.5,"restaurant, bar, food, point_of_interest, establishment","361 Boylston St, Boston, MA 02116, USA",(617) 247-4777,"[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1130'}}]",AdDdOWpffSYbQQn728ylyTdi6K7rf_nOPXPfiK1PGODZG63LA7iuO9NTvII6WLd1AL791pwlRC7rGhP1vcTPMNSAylBj7rQ-7Uz6TcUM7A_wSW_KNsvUGUvIXLZEaH2n7pYWTU3fV-Z1AbnGjIi2mDOVwXOD9fie2UkuHdS4y5JmS32XA15e,1681,https://maps.google.com/?cid=11774053818870242533,4.5,3.4,4.5
18,18,ChIJH6erzwJ644kRG35g0obPbWc,bb.q Chicken Kenmore,2.0,4.2,"restaurant, food, point_of_interest, establishment","636 Beacon St, Boston, MA 02215, USA",(617) 208-8823,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}]",AdDdOWoUAFFqqnLC7cHxNuWMFoMiOOYQoGIkRXGqqzvS4L2WKA0a9H-MKQZn3rjRB99PCu2qZR4GXSG66-x-nGHhoIen_wl6VKJKE3LeeNHLP8Y4gtHdZY4q1t6vhFw1d-I31pXfXgZWIPl24jnPjLiNxNIB0_20vp4VoDfGkifLgqpgxhoH,163,https://maps.google.com/?cid=7452841136330145307,2.5,2.3,4.7
19,19,ChIJzwTa-h1644kRlCoz94vNY1Y,Hojoko,3.0,4.3,"bar, restaurant, food, point_of_interest, establishment","1271 Boylston St, Boston, MA 02215, USA",(617) 670-0507,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1130'}}]",AdDdOWqj-topXAxWEBx5VwQfWAeGD05AAvWRaH0HCHpDQJIGDTxJpJw76Zcky791AKhXR7gUmdlbttmdPG8O8GeLgFIKLxGJLC5c6mbcC1BomzVy_DgLCP7RuKB9c9KGRqbEl6gZkqDCBvK_5N8SQcfpUc-uVIEua4f8ulgHNwLjxJr9aXcI,927,https://maps.google.com/?cid=6225045110987631252,4.6,2.5,4.1
20,20,ChIJWz0jd5x744kRr6oY9eXNGTM,Bab Al-Yemen BOSTON مطعم باب اليمن بوسطن,2.0,4.8,"restaurant, food, point_of_interest, establishment","468 Commonwealth Ave, Boston, MA 02215, USA",(857) 250-2943,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}]",AdDdOWq4NyvWQXuQlXX2rb9kcreagvoyXKIFzY2eS3KhY-4GrXnsA1bb9y3qAcqC-MQj5lHL7GKNkmUQ3ss8r8riITRYSAQFxMCMOe0g2BO7nZjHVSLbSHXVsXJ2dWZGd2sl4z0FFR0Jzbx0WDMCzpDdh_CtQy7FLiS9yjq9qK9nt8Q9WKjz,2825,https://maps.google.com/?cid=3682200557895330479,4.0,4.1,4.4
21,21,ChIJSxaTZ_d544kRX8eBXH8DhGQ,Noodle Street,2.0,4.4,"restaurant, food, point_of_interest, establishment","627 Commonwealth Ave, Boston, MA 02215, USA",(617) 536-3100,"[{'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1100'}}]",AdDdOWrCTYnPsp8yKQs1bXaStF1WPaY9qCKU-WDup_j2cAnD1N1WRsmTiFE-9cMmr-gBFjT6COz49Sp64m6YO8cdo0VsvLZtTsnwJgTDmfQ4U-R3ISuL36rE_r81vdZK5ZiyDXptZWRDHUo3i4uCHHBr1p96OD6_xzXytWr-Oc2pC5YA2zBe,255,https://maps.google.com/?cid=7242917946266339167,4.6,2.5,3.8
